"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 16:33:12 GMT 2024","Thu Apr 25 16:33:13 GMT 2024","67","","API Tests","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"passed","Thu Apr 25 16:32:58 GMT 2024","Thu Apr 25 16:33:05 GMT 2024","7225","","UI Tests","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) boundary value Test
"
"passed","Thu Apr 25 16:32:50 GMT 2024","Thu Apr 25 16:32:50 GMT 2024","669","","API Tests","","ProjectTests","AddProjectTest","AddProjectTest",""
"passed","Thu Apr 25 16:33:05 GMT 2024","Thu Apr 25 16:33:08 GMT 2024","3576","","UI Tests","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Thu Apr 25 16:32:50 GMT 2024","Thu Apr 25 16:32:58 GMT 2024","7743","","UI Tests","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Fail to upload test cases test
"
"passed","Thu Apr 25 16:32:50 GMT 2024","Thu Apr 25 16:32:50 GMT 2024","58","","API Tests","","ProjectTests","GetMissingProjectTest","GetMissingProjectTest",""
"passed","Thu Apr 25 16:33:12 GMT 2024","Thu Apr 25 16:33:12 GMT 2024","194","","API Tests","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"passed","Thu Apr 25 16:33:05 GMT 2024","Thu Apr 25 16:33:12 GMT 2024","7097","","UI Tests","","ProjectTests","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Thu Apr 25 16:32:58 GMT 2024","Thu Apr 25 16:33:02 GMT 2024","3900","","UI Tests","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"broken","Thu Apr 25 16:32:50 GMT 2024","Thu Apr 25 16:33:05 GMT 2024","14584","","UI Tests","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Thu Apr 25 16:33:13 GMT 2024","Thu Apr 25 16:33:13 GMT 2024","184","","API Tests","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"passed","Thu Apr 25 16:32:59 GMT 2024","Thu Apr 25 16:33:05 GMT 2024","6161","","UI Tests","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) boundary value Test
"
"passed","Thu Apr 25 16:33:02 GMT 2024","Thu Apr 25 16:33:10 GMT 2024","7973","","UI Tests","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) boundary value Test
"
"passed","Thu Apr 25 16:32:50 GMT 2024","Thu Apr 25 16:32:50 GMT 2024","78","","API Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest",""
"passed","Thu Apr 25 16:33:12 GMT 2024","Thu Apr 25 16:33:12 GMT 2024","81","","API Tests","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Thu Apr 25 16:33:05 GMT 2024","Thu Apr 25 16:33:12 GMT 2024","6757","","UI Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"passed","Thu Apr 25 16:32:50 GMT 2024","Thu Apr 25 16:32:58 GMT 2024","7524","","UI Tests","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds (11) boundary value Test
"
"passed","Thu Apr 25 16:32:50 GMT 2024","Thu Apr 25 16:32:59 GMT 2024","8138","","UI Tests","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Upload test cases test
"
