"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 16:33:17 GMT 2024","Tue Apr 23 16:33:17 GMT 2024","83","","","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"broken","Tue Apr 23 16:31:16 GMT 2024","Tue Apr 23 16:32:16 GMT 2024","60181","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) Value test
"
"broken","Tue Apr 23 16:30:15 GMT 2024","Tue Apr 23 16:31:16 GMT 2024","61030","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Create entity (new project) test
"
"broken","Tue Apr 23 16:32:16 GMT 2024","Tue Apr 23 16:33:16 GMT 2024","60101","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"broken","Tue Apr 23 16:32:16 GMT 2024","Tue Apr 23 16:33:16 GMT 2024","60112","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Tue Apr 23 16:33:17 GMT 2024","Tue Apr 23 16:33:17 GMT 2024","168","","","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"broken","Tue Apr 23 16:30:15 GMT 2024","Tue Apr 23 16:31:16 GMT 2024","61030","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Create entity (new project) test
"
"broken","Tue Apr 23 16:31:16 GMT 2024","Tue Apr 23 16:32:16 GMT 2024","60199","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) Value Test
"
"broken","Tue Apr 23 16:31:16 GMT 2024","Tue Apr 23 16:32:16 GMT 2024","60144","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) Value test
"
"broken","Tue Apr 23 16:32:16 GMT 2024","Tue Apr 23 16:33:16 GMT 2024","60091","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Tue Apr 23 16:33:17 GMT 2024","Tue Apr 23 16:33:17 GMT 2024","78","","","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"broken","Tue Apr 23 16:31:16 GMT 2024","Tue Apr 23 16:32:16 GMT 2024","60102","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds Value Test
"
"broken","Tue Apr 23 16:30:15 GMT 2024","Tue Apr 23 16:31:16 GMT 2024","61030","","","","CreateNewProjectTest","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Tue Apr 23 16:33:16 GMT 2024","Tue Apr 23 16:33:17 GMT 2024","186","","","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"broken","Tue Apr 23 16:30:15 GMT 2024","Tue Apr 23 16:31:16 GMT 2024","61030","","","","DeleteProjectTest","RemoveProjectTest","RemoveProjectTest","Delete entity (project) test
"
