"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 23 18:38:50 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","355","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"broken","Tue Apr 23 18:38:43 GMT 2024","Tue Apr 23 18:38:49 GMT 2024","6583","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) Value test
"
"broken","Tue Apr 23 18:38:49 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","404","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"broken","Tue Apr 23 18:38:43 GMT 2024","Tue Apr 23 18:38:49 GMT 2024","6565","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) Value Test
"
"broken","Tue Apr 23 18:38:43 GMT 2024","Tue Apr 23 18:38:49 GMT 2024","6564","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds Value Test
"
"broken","Tue Apr 23 18:38:49 GMT 2024","Tue Apr 23 18:38:49 GMT 2024","351","","","","DeleteProjectTest","RemoveProjectTest","RemoveProjectTest","Delete entity (project) test
"
"broken","Tue Apr 23 18:38:43 GMT 2024","Tue Apr 23 18:38:49 GMT 2024","6565","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) Value test
"
"broken","Tue Apr 23 18:38:49 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","479","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Create entity (new project) test
"
"broken","Tue Apr 23 18:38:50 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","209","","","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"broken","Tue Apr 23 18:38:50 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","336","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"failed","Tue Apr 23 18:38:50 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","54","","","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"broken","Tue Apr 23 18:38:49 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","412","","","","CreateNewProjectTest","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"broken","Tue Apr 23 18:38:49 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","385","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Create entity (new project) test
"
"passed","Tue Apr 23 18:38:50 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","68","","","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"failed","Tue Apr 23 18:38:50 GMT 2024","Tue Apr 23 18:38:50 GMT 2024","170","","","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
