"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 20:38:33 GMT 2024","Thu Apr 25 20:38:38 GMT 2024","5356","","UI Tests","","ProjectTests","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"broken","Thu Apr 25 20:38:27 GMT 2024","Thu Apr 25 20:38:40 GMT 2024","12734","","UI Tests","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Thu Apr 25 20:38:30 GMT 2024","Thu Apr 25 20:38:34 GMT 2024","4358","","UI Tests","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Thu Apr 25 20:38:18 GMT 2024","Thu Apr 25 20:38:25 GMT 2024","7869","","UI Tests","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) boundary value Test
"
"passed","Thu Apr 25 20:38:44 GMT 2024","Thu Apr 25 20:38:44 GMT 2024","89","","API Tests","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Thu Apr 25 20:38:18 GMT 2024","Thu Apr 25 20:38:22 GMT 2024","4669","","UI Tests","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Thu Apr 25 20:38:18 GMT 2024","Thu Apr 25 20:38:26 GMT 2024","7949","","UI Tests","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds (11) boundary value Test
"
"passed","Thu Apr 25 20:38:34 GMT 2024","Thu Apr 25 20:38:40 GMT 2024","5583","","UI Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"broken","Thu Apr 25 20:38:26 GMT 2024","Thu Apr 25 20:38:44 GMT 2024","18250","","UI Tests","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Fail to upload test cases test
"
"passed","Thu Apr 25 20:38:44 GMT 2024","Thu Apr 25 20:38:44 GMT 2024","198","","API Tests","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"passed","Thu Apr 25 20:38:44 GMT 2024","Thu Apr 25 20:38:44 GMT 2024","93","","API Tests","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"passed","Thu Apr 25 20:38:44 GMT 2024","Thu Apr 25 20:38:44 GMT 2024","167","","API Tests","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"passed","Thu Apr 25 20:38:18 GMT 2024","Thu Apr 25 20:38:27 GMT 2024","9314","","UI Tests","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) boundary value Test
"
"passed","Thu Apr 25 20:38:22 GMT 2024","Thu Apr 25 20:38:30 GMT 2024","7467","","UI Tests","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) boundary value Test
"
"passed","Thu Apr 25 20:38:26 GMT 2024","Thu Apr 25 20:38:33 GMT 2024","7161","","UI Tests","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Upload test cases test
"
