"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 23 16:59:34 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","14264","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Create entity (new project) test
"
"broken","Tue Apr 23 16:59:48 GMT 2024","Tue Apr 23 16:59:49 GMT 2024","259","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"broken","Tue Apr 23 16:59:34 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","14264","","","","DeleteProjectTest","RemoveProjectTest","RemoveProjectTest","Delete entity (project) test
"
"broken","Tue Apr 23 16:59:48 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","340","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) Value test
"
"broken","Tue Apr 23 16:59:34 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","14264","","","","CreateNewProjectTest","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"broken","Tue Apr 23 16:59:48 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","389","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) Value test
"
"broken","Tue Apr 23 16:59:48 GMT 2024","Tue Apr 23 16:59:49 GMT 2024","363","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Tue Apr 23 16:59:49 GMT 2024","Tue Apr 23 16:59:49 GMT 2024","166","","","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"broken","Tue Apr 23 16:59:48 GMT 2024","Tue Apr 23 16:59:49 GMT 2024","254","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Tue Apr 23 16:59:49 GMT 2024","Tue Apr 23 16:59:49 GMT 2024","66","","","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Tue Apr 23 16:59:49 GMT 2024","Tue Apr 23 16:59:49 GMT 2024","87","","","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"broken","Tue Apr 23 16:59:48 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","421","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds Value Test
"
"broken","Tue Apr 23 16:59:34 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","14264","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Create entity (new project) test
"
"passed","Tue Apr 23 16:59:49 GMT 2024","Tue Apr 23 16:59:49 GMT 2024","185","","","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"broken","Tue Apr 23 16:59:48 GMT 2024","Tue Apr 23 16:59:48 GMT 2024","520","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) Value Test
"
