"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 17:02:44 GMT 2024","Thu Apr 25 17:02:44 GMT 2024","69","","API Tests","","ProjectTests","GetMissingProjectTest","GetMissingProjectTest",""
"passed","Thu Apr 25 17:02:53 GMT 2024","Thu Apr 25 17:03:00 GMT 2024","7411","","UI Tests","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Upload test cases test
"
"passed","Thu Apr 25 17:02:44 GMT 2024","Thu Apr 25 17:02:49 GMT 2024","4769","","UI Tests","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Thu Apr 25 17:03:15 GMT 2024","Thu Apr 25 17:03:15 GMT 2024","203","","API Tests","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"passed","Thu Apr 25 17:02:44 GMT 2024","Thu Apr 25 17:02:53 GMT 2024","8176","","UI Tests","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds (11) boundary value Test
"
"passed","Thu Apr 25 17:03:00 GMT 2024","Thu Apr 25 17:03:06 GMT 2024","5923","","UI Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"passed","Thu Apr 25 17:03:15 GMT 2024","Thu Apr 25 17:03:15 GMT 2024","95","","API Tests","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"passed","Thu Apr 25 17:02:53 GMT 2024","Thu Apr 25 17:03:00 GMT 2024","7348","","UI Tests","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Fail to upload test cases test
"
"passed","Thu Apr 25 17:02:44 GMT 2024","Thu Apr 25 17:02:54 GMT 2024","9337","","UI Tests","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) boundary value Test
"
"broken","Thu Apr 25 17:02:54 GMT 2024","Thu Apr 25 17:03:06 GMT 2024","12328","","UI Tests","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Thu Apr 25 17:02:44 GMT 2024","Thu Apr 25 17:02:44 GMT 2024","635","","API Tests","","ProjectTests","AddProjectTest","AddProjectTest",""
"passed","Thu Apr 25 17:03:15 GMT 2024","Thu Apr 25 17:03:15 GMT 2024","77","","API Tests","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Thu Apr 25 17:02:57 GMT 2024","Thu Apr 25 17:03:01 GMT 2024","4443","","UI Tests","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"broken","Thu Apr 25 17:03:00 GMT 2024","Thu Apr 25 17:03:15 GMT 2024","15002","","UI Tests","","ProjectTests","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Thu Apr 25 17:03:15 GMT 2024","Thu Apr 25 17:03:15 GMT 2024","142","","API Tests","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"passed","Thu Apr 25 17:02:49 GMT 2024","Thu Apr 25 17:02:57 GMT 2024","7624","","UI Tests","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) boundary value Test
"
"passed","Thu Apr 25 17:02:44 GMT 2024","Thu Apr 25 17:02:44 GMT 2024","82","","API Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest",""
"passed","Thu Apr 25 17:02:44 GMT 2024","Thu Apr 25 17:02:53 GMT 2024","8212","","UI Tests","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) boundary value Test
"
