"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 19:19:17 GMT 2024","Tue Apr 23 19:19:27 GMT 2024","9621","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) Value test
"
"failed","Tue Apr 23 19:19:50 GMT 2024","Tue Apr 23 19:19:50 GMT 2024","65","","","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"passed","Tue Apr 23 19:19:17 GMT 2024","Tue Apr 23 19:19:27 GMT 2024","9592","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) Value Test
"
"broken","Tue Apr 23 19:19:50 GMT 2024","Tue Apr 23 19:19:50 GMT 2024","154","","","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"failed","Tue Apr 23 19:19:50 GMT 2024","Tue Apr 23 19:19:50 GMT 2024","53","","","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"passed","Tue Apr 23 19:19:27 GMT 2024","Tue Apr 23 19:19:35 GMT 2024","8500","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Create entity (new project) test
"
"passed","Tue Apr 23 19:19:27 GMT 2024","Tue Apr 23 19:19:36 GMT 2024","8675","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Create entity (new project) test
"
"passed","Tue Apr 23 19:19:17 GMT 2024","Tue Apr 23 19:19:24 GMT 2024","6943","","","","DeleteProjectTest","RemoveProjectTest","RemoveProjectTest","Delete entity (project) test
"
"broken","Tue Apr 23 19:19:32 GMT 2024","Tue Apr 23 19:19:50 GMT 2024","18067","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Tue Apr 23 19:19:24 GMT 2024","Tue Apr 23 19:19:32 GMT 2024","7352","","","","CreateNewProjectTest","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Tue Apr 23 19:19:35 GMT 2024","Tue Apr 23 19:19:38 GMT 2024","3444","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Tue Apr 23 19:19:17 GMT 2024","Tue Apr 23 19:19:24 GMT 2024","7052","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds Value Test
"
"passed","Tue Apr 23 19:19:24 GMT 2024","Tue Apr 23 19:19:31 GMT 2024","6556","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) Value test
"
"passed","Tue Apr 23 19:19:50 GMT 2024","Tue Apr 23 19:19:50 GMT 2024","65","","","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Tue Apr 23 19:19:31 GMT 2024","Tue Apr 23 19:19:35 GMT 2024","3731","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
