"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 22:13:02 GMT 2024","Wed Apr 24 22:13:10 GMT 2024","7948","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Fail to upload test cases test
"
"passed","Wed Apr 24 22:13:06 GMT 2024","Wed Apr 24 22:13:12 GMT 2024","5363","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Upload test cases test
"
"failed","Wed Apr 24 22:13:22 GMT 2024","Wed Apr 24 22:13:22 GMT 2024","57","","","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"passed","Wed Apr 24 22:13:16 GMT 2024","Wed Apr 24 22:13:22 GMT 2024","5588","","","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"passed","Wed Apr 24 22:13:13 GMT 2024","Wed Apr 24 22:13:19 GMT 2024","6708","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) boundary value Test
"
"passed","Wed Apr 24 22:13:02 GMT 2024","Wed Apr 24 22:13:08 GMT 2024","5871","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Wed Apr 24 22:13:12 GMT 2024","Wed Apr 24 22:13:16 GMT 2024","4721","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) boundary value Test
"
"failed","Wed Apr 24 22:13:22 GMT 2024","Wed Apr 24 22:13:22 GMT 2024","46","","","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"broken","Wed Apr 24 22:13:22 GMT 2024","Wed Apr 24 22:13:22 GMT 2024","146","","","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"broken","Wed Apr 24 22:13:02 GMT 2024","Wed Apr 24 22:13:21 GMT 2024","19079","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Wed Apr 24 22:13:08 GMT 2024","Wed Apr 24 22:13:13 GMT 2024","4671","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds (11) boundary value Test
"
"passed","Wed Apr 24 22:13:16 GMT 2024","Wed Apr 24 22:13:22 GMT 2024","5867","","","","ProjectTests","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Wed Apr 24 22:13:10 GMT 2024","Wed Apr 24 22:13:16 GMT 2024","5799","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) boundary value Test
"
"passed","Wed Apr 24 22:13:22 GMT 2024","Wed Apr 24 22:13:22 GMT 2024","60","","","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Wed Apr 24 22:13:02 GMT 2024","Wed Apr 24 22:13:06 GMT 2024","4243","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
