"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 13:51:39 GMT 2024","Tue Apr 30 13:51:39 GMT 2024","645","","API Tests","","ProjectTests","AddProjectTest","AddProjectTest","Create entity (project) test
"
"broken","Tue Apr 30 13:51:40 GMT 2024","Tue Apr 30 13:51:57 GMT 2024","17571","","UI Tests","","ProjectTests","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Tue Apr 30 13:51:40 GMT 2024","Tue Apr 30 13:51:48 GMT 2024","8589","","UI Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"passed","Tue Apr 30 13:51:40 GMT 2024","Tue Apr 30 13:51:45 GMT 2024","5661","","UI Tests","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Tue Apr 30 13:51:57 GMT 2024","Tue Apr 30 13:51:57 GMT 2024","365","","API Tests","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest","Create entity (test case) test
"
