"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 19:02:34 GMT 2024","Fri Apr 19 19:02:43 GMT 2024","9097","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Create entity (new project) test
"
"passed","Fri Apr 19 19:02:43 GMT 2024","Fri Apr 19 19:02:51 GMT 2024","7823","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) Value test
"
"failed","Fri Apr 19 19:02:48 GMT 2024","Fri Apr 19 19:02:51 GMT 2024","2976","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Fri Apr 19 19:02:34 GMT 2024","Fri Apr 19 19:02:44 GMT 2024","9732","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) Value test
"
"passed","Fri Apr 19 19:02:51 GMT 2024","Fri Apr 19 19:02:53 GMT 2024","2263","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Fri Apr 19 19:02:43 GMT 2024","Fri Apr 19 19:02:49 GMT 2024","5861","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) Value Test
"
"failed","Fri Apr 19 19:02:49 GMT 2024","Fri Apr 19 19:02:52 GMT 2024","2468","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Fri Apr 19 19:02:34 GMT 2024","Fri Apr 19 19:02:43 GMT 2024","9036","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Create entity (new project) test
"
"passed","Fri Apr 19 19:02:42 GMT 2024","Fri Apr 19 19:02:48 GMT 2024","5716","","","","DeleteProjectTest","RemoveProjectTest","RemoveProjectTest","Delete entity (project) test
"
"passed","Fri Apr 19 19:02:44 GMT 2024","Fri Apr 19 19:02:51 GMT 2024","7115","","","","CreateNewProjectTest","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Fri Apr 19 19:02:34 GMT 2024","Fri Apr 19 19:02:42 GMT 2024","8102","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds Value Test
"
