"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 20:12:14 GMT 2024","Tue Apr 23 20:12:14 GMT 2024","205","","","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"passed","Tue Apr 23 20:11:51 GMT 2024","Tue Apr 23 20:11:58 GMT 2024","6943","","","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Create entity (new project) test
"
"broken","Tue Apr 23 20:11:56 GMT 2024","Tue Apr 23 20:12:13 GMT 2024","17750","","","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Tue Apr 23 20:12:14 GMT 2024","Tue Apr 23 20:12:14 GMT 2024","100","","","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Tue Apr 23 20:11:38 GMT 2024","Tue Apr 23 20:11:49 GMT 2024","11064","","","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds Value Test
"
"passed","Tue Apr 23 20:12:13 GMT 2024","Tue Apr 23 20:12:14 GMT 2024","226","","","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"passed","Tue Apr 23 20:11:47 GMT 2024","Tue Apr 23 20:11:54 GMT 2024","6221","","","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) Value Test
"
"passed","Tue Apr 23 20:11:49 GMT 2024","Tue Apr 23 20:11:56 GMT 2024","6821","","","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) Value test
"
"passed","Tue Apr 23 20:11:38 GMT 2024","Tue Apr 23 20:11:50 GMT 2024","12464","","","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) Value test
"
"passed","Tue Apr 23 20:11:38 GMT 2024","Tue Apr 23 20:11:51 GMT 2024","13365","","","","CreateNewProjectTest","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"passed","Tue Apr 23 20:11:57 GMT 2024","Tue Apr 23 20:12:01 GMT 2024","4217","","","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Tue Apr 23 20:11:54 GMT 2024","Tue Apr 23 20:11:57 GMT 2024","3063","","","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
"passed","Tue Apr 23 20:11:50 GMT 2024","Tue Apr 23 20:11:58 GMT 2024","7718","","","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Create entity (new project) test
"
"passed","Tue Apr 23 20:11:38 GMT 2024","Tue Apr 23 20:11:47 GMT 2024","9632","","","","DeleteProjectTest","RemoveProjectTest","RemoveProjectTest","Delete entity (project) test
"
"passed","Tue Apr 23 20:12:14 GMT 2024","Tue Apr 23 20:12:14 GMT 2024","90","","","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
