"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 16:58:52 GMT 2024","Thu Apr 25 16:58:52 GMT 2024","322","","API Tests","","TestCaseTests","CreateNewTestCaseTest","CreateNewTestCaseTest",""
"passed","Thu Apr 25 16:58:30 GMT 2024","Thu Apr 25 16:58:37 GMT 2024","7750","","UI Tests","","BoundaryValueTests","MaxOOBValueTest","MaxOOBValueTest","Maximum Out of Bounds (11) boundary value Test
"
"passed","Thu Apr 25 16:58:46 GMT 2024","Thu Apr 25 16:58:52 GMT 2024","6205","","UI Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest","Delete entity (project) test
"
"passed","Thu Apr 25 16:58:34 GMT 2024","Thu Apr 25 16:58:42 GMT 2024","7277","","UI Tests","","BoundaryValueTests","MaxValueTest","MaxValueTest","Maximum (10) boundary value Test
"
"passed","Thu Apr 25 16:58:29 GMT 2024","Thu Apr 25 16:58:29 GMT 2024","665","","API Tests","","ProjectTests","AddProjectTest","AddProjectTest",""
"passed","Thu Apr 25 16:58:52 GMT 2024","Thu Apr 25 16:58:53 GMT 2024","152","","API Tests","","TestCaseTests","GetTestCaseTest","GetTestCaseTest",""
"passed","Thu Apr 25 16:58:29 GMT 2024","Thu Apr 25 16:58:30 GMT 2024","116","","API Tests","","ProjectTests","GetMissingProjectTest","GetMissingProjectTest",""
"passed","Thu Apr 25 16:58:30 GMT 2024","Thu Apr 25 16:58:30 GMT 2024","140","","API Tests","","ProjectTests","DeleteProjectTest","DeleteProjectTest",""
"passed","Thu Apr 25 16:58:42 GMT 2024","Thu Apr 25 16:58:46 GMT 2024","4144","","UI Tests","","LoginTests","SuccessfulLoginTest","SuccessfulLoginTest","Base positive login test
"
"passed","Thu Apr 25 16:58:53 GMT 2024","Thu Apr 25 16:58:53 GMT 2024","258","","API Tests","","TestCaseTests","DeleteTestCaseTest","DeleteTestCaseTest",""
"passed","Thu Apr 25 16:58:30 GMT 2024","Thu Apr 25 16:58:40 GMT 2024","9902","","UI Tests","","FileUploadTests","UploadFileNegativeTest","UploadFileNegativeTest","Fail to upload test cases test
"
"passed","Thu Apr 25 16:58:39 GMT 2024","Thu Apr 25 16:58:46 GMT 2024","6798","","UI Tests","","BoundaryValueTests","MinValueTest","MinValueTest","Minimum (2) boundary value Test
"
"passed","Thu Apr 25 16:58:30 GMT 2024","Thu Apr 25 16:58:39 GMT 2024","9401","","UI Tests","","FileUploadTests","UploadFilePositiveTest","UploadFilePositiveTest","Upload test cases test
"
"passed","Thu Apr 25 16:58:43 GMT 2024","Thu Apr 25 16:58:50 GMT 2024","6156","","UI Tests","","ProjectTests","CreateProjectTest","CreateProjectTest","Create entity (new project) test
"
"broken","Thu Apr 25 16:58:40 GMT 2024","Thu Apr 25 16:58:52 GMT 2024","12442","","UI Tests","","LoginTests","FailedLoginTest","FailedLoginTest","Defect login test
"
"passed","Thu Apr 25 16:58:37 GMT 2024","Thu Apr 25 16:58:43 GMT 2024","5994","","UI Tests","","BoundaryValueTests","MinOOBValueTest","MinOOBValueTest","Minimum Out of Bounds (1) boundary value Test
"
"passed","Thu Apr 25 16:58:52 GMT 2024","Thu Apr 25 16:58:52 GMT 2024","132","","API Tests","","TestCaseTests","UpdateTestCaseTest","UpdateTestCaseTest",""
"passed","Thu Apr 25 16:58:30 GMT 2024","Thu Apr 25 16:58:34 GMT 2024","4672","","UI Tests","","InvalidCredentialsTest","InvalidLoginTest","InvalidLoginTest","Negative login test
"
